text,label
"Morgens nach dem Aufstehen trinke ich direkt einen Kafffe.","0"
"Immer wenn ich müde bin, mache ich Atemübungen. ","0"
"Wenn ich ein negatives Gefühl stark fühle, versuche ich es auszufühlen. ","0"
"Abends nach dem Abendbrot trinke ich ein Glas Wein. ","0"
"Wenn ich am Wochenende zum Bäcker gehe, mache ich einen Abstecher in mein Lieblingscafe und trinke einen Cappucino. ","0"
"Nach dem Aufstehen mache ich Kraftsport","0"
"Sobald ich eine Aufgabe sehe, trage ich sie in Notion ein. ","0"
"Wenn mir in Teams angezeigt wird, dass sich ein Kollege im EvalGiGe Meeting befindet, dann trete ich dem Meeting bei. ","0"
"Wenn mich nach Feierabend noch niemand daheim erwartet, dann spaziere ich nach Hause. ","0"
"Einmal im Monat verbringe ich einen Tag mit mir allein in Dresden. ","0"
"Morgens nach dem Aufstehen wasche ich mein Gesicht.","0"
"Morgens/Abends nach dem Gesichtwaschen putze ich meine Zähne.","0"
"Morgens/Abends nach dem Zähneputzen creme ich mein Gesicht ein.","0"
"Morgens nach dem Gesicht-Eincremen füttere ich die Katze.","0"
"Morgens nach der Katzenfütterung bekommt der Hund eine Kaustange.","0"
"Morgens nach der Tierfütterung trinke ich einen Kaffee.","0"
"Nach dem Joggen trinke ich einen Proteinshake.","0"
"Wenn ich Lust auf ein Bier/Wein habe trinke ich ein Malzbier","0"
"Bevor ich schlafe mache ich meine Ohrstöpsel ins Ohr.","0"
"Bevor ich schlafen gehe nehme ich meine Nahrungsergänzungsmittel","0"
"Wenn ich gestresst bin, gehe ich zum Kühlschrank und nehme mir etwas zu essen.","0"
"Nach dem Aufstehen mache ich mir ein Zitronenwasser.","0"
"Wenn ich mich abends ins Bett lege, scrolle ich sinnlos durch social media.","0"
"wenn ich ins DM gehe, kaufe ich mir was Süßes.","0"
"nach dem Aufstehen trinken und Medikamenteinnahme mach ich ein kurzes HIT Workout","0"
"nach dem Abendbrot wasche ich ab","0"
"Nach dem Aufstehen mache ich ein paar Sprachübungen","0"
"Ich prüfe ob ich meinen Schlüssel dabeihabe, wenn ich aus der  WOhnung gehe","0"
"Ich nehme VItamin D tabletten ein","0"
"Samstags putze ich das Bad.","0"
"Wenn es nicht regnet, gieße ich im Sommer jeden Tag den Apfelbaum.","0"
"Nach dem Abendbrot an einem stressigen Tag esse ich gern ein Stück Schokolade","0"
"Nach dem Sport am Abend gehe ich oft erst spät ins Bett ","0"
"Ich habe mir heute eine neue Serie auf Netflix angesehen.","1"
"Ich war gestern im Kino","1"
"Ich habe vor, einen neuen Getränkegeschmack auszuprobieren","1"
"Ich plane, morgen ins Schwimmbad zu gehen.","1"
"Ich habe am Wochenende meine Freunde in einer anderen Stadt besucht.","1"
"Ich habe heute zum ersten Mal einen Podcast gehört.","1"
"Ich habe heute zum ersten Mal ein Selfie mit meiner neuen Kamera gemacht.","1"
"Heute habe ich einen langen Spaziergang durch eine fremde Gegend gemacht.","1"
"Ich habe letzte Woche meine Wohnung umdekoriert.","1"
"Letzte Woche war ich auf der Hochzeit meiner besten Freundin","1"
"Letzte Woche war ich auf der Beerdigung eines guten Freundes.","1"
"Ich habe vor, nächsten Mittwoch zum Arzt zu gehen","1"
"Mir geht es jetzt sehr schlecht, weil mein Magen weh tut","1"
"Ich bin an die Landschaft in den Bergen gewöhnt","1"
"Letzten Mittwoch hat es plötzlich geregnet, also bin ich in ein Café gegangen, das ich vorher nicht kannte, um Schutz vor dem Regen zu suchen, und ich habe festgestellt, dass es mir wirklich gut gefallen hat.","1"
"Heute Morgen fühlte ich mich plötzlich sehr müde","1"
"Haferbrei schmeckt besser, wenn man Blaubeeren dazu gibt","1"
"Es regnet heute, deshalb möchte ich nicht ins Fitnessstudio gehen","1"
"Ich habe mir den Rap einmal angehört und er klang ziemlich gut.","1"
"Heute habe ich versucht zu lernen, wie man einen Kuchen backt","1"
"Ich habe heute viele neue Freunde kennengelernt","1"
"Ich habe heute viele neue Möbel zur Einrichtung meines neuen Hauses bestellt.","1"
"Wenn ich versuche zu bezahlen, friert die Webseite aus unbekannten Gründen immer wieder ein","1"
"Vielleicht plane ich, in Zukunft zum Militär zu gehen.","1"
"Ich habe gestern einen Film auf Englisch ohne Untertitel gesehen.","1"
"Ich habe mir heute eine neue Pflanze gekauft.","1"
"Ich jogge","1"
"Letzte Woche war ich joggen.","1"
"Ich habe einmal Tischtennis gespielt und es nie wieder angefasst","1"
"Ich liebe Pommes Frites","1"
"Ich habe gestern Pommes gegessen","1"
"Ich mag Eis, aber nicht jedes Mal.","1"
"Gestern habe ich zum ersten Mal Yoga gemacht.","1"
