text,label
"Jeden Morgen trinke ich eine Tasse Kaffee, bevor ich zur Arbeit gehe.",0
"Am Wochenende gehe ich oft spazieren, um frische Luft zu schnappen.",0
"Abends lese ich gerne ein Buch, um mich zu entspannen.",0
"Ich putze mir immer die Zähne, bevor ich ins Bett gehe.",0
Nach dem Mittagessen mache ich meistens einen kurzen Spaziergang.,0
Gestern habe ich einen wunderschönen Sonnenuntergang am Strand gesehen.,1
"Letzte Woche bin ich spontan nach Berlin gereist, um ein Konzert zu besuchen.",1
Am Wochenende haben wir eine Überraschungsparty für meinen Freund organisiert.,1
"Vor zwei Tagen hat es plötzlich angefangen zu schneien, obwohl es Frühling ist.",1
"Ich habe gerade beschlossen, einen neuen Kurs in Fotografie zu belegen.",1
